"schema","uuid","id","title","abstract","category","metadatacreationdate","date-publication","keyword","keyword-geonetwork.thesaurus.external.place.regions","contact-originator","geoBox","LegalConstraints","link","format","image","contact-pointOfContact","date-creation","date-revision","contact-resourceProvider","keyword-1","keyword-2","keyword-3","contact-principalInvestigator","contact-custodian","contact-owner","contact-publisher","contact-distributor","keyword-4","keyword-5","keyword-6","keyword-7","contact-author","contact-"
"iso19139","3ab1d271-7ab9-4b20-b90e-747e50ad0ccc","61250","Interception (Muvumba catchment, Rwanda - Dekadal - 30m)","The Interception (I) data component (dekadal, in mm/day) represents the evaporation of intercepted rainfall from the vegetation canopy. Interception is the process where rainfall is captured by the leaves. Part of this captured rainfall will evaporate again. The value of each pixel represents the average daily evaporated interception for that specific dekad. The data is provided in near real time from January 2015 to present.","dataset","2022-02-01T10:39:00","2021-01-01","Water###WaPOR###WaPOR_2###WaPOR_2_Subnational###Dekadal###Africa and Near East###Rwanda###Muvumba","Africa","FAO-UN/ wapor@fao.org","30.22###30.48###-1.69###-1.04","copyright###license###Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International (CC BY-NC-SA 4.0)","https://WaPOR.apps.fao.org/catalog/WaPOR_2/3/L3_MUV_I_D###https://io.apps.fao.org/geoserver/wms/WAPOR_2/L3_MUV_I_D/v2?service=WMS&version=1.3.0&request=GetCapabilities","TIF","","","","","","","","","","","","","","","","","","",""
"iso19139","3deeedd3-a2f5-4c28-8f11-130fbfb53214","37863","RICCAR, MENA Region - Vulnerability Assessment Output - Agriculture: Water Available for Crops, moderate emission scenario (End-Century)","Part of the Integrated Vulnerability Assessment in the Arab Region, this 1km pixel resolution raster dataset provides a representation of future change in vulnerability for Agriculture: Water Available for Crops, in the Middle East and North Africa Region. The Raster grid was generated for moderate representative concentration pathway (RCP4.5) emission scenario developed by the Intergovernmental Panel on Climate Change (IPCC) for time period End-Century (2081-2100). Pixel values are classified according to level of vulnerability, from low 1 to high 10. Vulnerability is a concept used to express the complex interaction of climate change effects and the susceptibility of a system to its impacts. The integrated vulnerability assessment methodology is based on an understanding of vulnerability as a function of a system’s climate change exposure, sensitivity and adaptive capacity to cope with climate change effects, consistent with the approach put forward by the IPCC in its Fourth Assessment Report (AR4). It adopts the time periods generally used by the IPCC and other regional climate modelling experiments, and runs climate simulations based on future time periods that are compared with a historical reference period.","dataset","2019-11-12T09:42:03","2019-08-21","Vulnerability###RICCAR###Climate change###Agriculture###MENA - Middle East North Africa###Arab Region","","/","-16.48887112###59.78612888###-1.62680624###37.38152709","copyright###otherRestictions###","https://rkh.apps.fao.org/catalog/3/VF###https://io.apps.fao.org/geoserver/wms","GeoTIFF","https://storage.googleapis.com/fao-maps-catalog-data/uuid/3deeedd3-a2f5-4c28-8f11-130fbfb53214/thumbnail/v_f.png","","","","","","","","","","","","","","","","","",""
"iso19139","e941be5e-52b9-4ed6-984e-a0632fbc4597","37763","RICCAR, MENA Region - Vulnerability Assessment Output - Infrastructure and Human Settlements - Moderate emission scenario (End-Century)","Part of the Integrated Vulnerability Assessment in the Arab Region, this 1km pixel resolution raster dataset provides a representation of future change in vulnerability for Infrastructure and Human Settlements sector, in the Middle East and North Africa Region. The Raster grid was generated for moderate representative concentration pathway (RCP4.5) emission scenario developed by the Intergovernmental Panel on Climate Change (IPCC) for time period End-Century (2081-2100). Pixel values are classified according to level of vulnerability, from low 1 to high 10. Vulnerability is a concept used to express the complex interaction of climate change effects and the susceptibility of a system to its impacts. The integrated vulnerability assessment methodology is based on an understanding of vulnerability as a function of a system’s climate change exposure, sensitivity and adaptive capacity to cope with climate change effects, consistent with the approach put forward by the IPCC in its Fourth Assessment Report (AR4). It adopts the time periods generally used by the IPCC and other regional climate modelling experiments, and runs climate simulations based on future time periods that are compared with a historical reference period.","dataset","2019-08-22T11:22:35","2019-08-22","Vulnerability###RICCAR###Climate change###MENA - Middle East North Africa###Arab Region","","/","-17.04461528###59.78871806###-1.56013958###37.35652709","copyright###otherRestictions###","https://rkh.apps.fao.org/catalog/3/VF###https://io.apps.fao.org/geoserver/wms","GeoTIFF","https://storage.googleapis.com/fao-maps-catalog-data/uuid/e941be5e-52b9-4ed6-984e-a0632fbc4597/thumbnail/v_f.png","","","","","","","","","","","","","","","","","",""
"iso19139","20f97d60-2353-4776-9b2a-4da13a5b7dca","37573","RICCAR, MENA Region - Vulnerability Assessment - Sensitivity - Population: Population Density","Part of the Integrated Vulnerability Assessment in the Arab Region, this 1km pixel resolution raster dataset provides a representation of sensitivity to climate change impact for the population dimension indicator – Population Density - in the Middle East and North Africa Region. Vulnerability is a concept used to express the complex interaction of climate change effects and the susceptibility of a system to its impacts. The integrated vulnerability assessment methodology is based on an understanding of vulnerability as a function of a system’s climate change exposure, sensitivity and adaptive capacity to cope with climate change effects, consistent with the approach put forward by the Intergovernmental Panel on Climate Change (IPCC) in its Fourth Assessment Report (AR4). Within this conceptual framework, Sensitivity provides information about the status quo of the physical and natural environment that makes the affected systems particularly susceptible to climate change. Sensitivity indicators were clustered into three dimensions: population, natural, and manmade. Within the vulnerability assessment methodology it is assumed the indicators retain the same values for reference period and future periods. A class value of 1 was assigned to represent a favorable condition (low sensitivity) while a class value of 10 designates an unfavorable condition.","dataset","2019-11-12T09:38:25","2019-08-14","Vulnerability###Sensitivity###RICCAR###Climate change###Water###MENA - Middle East North Africa###Arab Region","","/","-17.10153###59.84847###-1.65820333###37.38346333","copyright###otherRestictions###","https://rkh.apps.fao.org/catalog/RICCAR/3/PISPOP###https://io.apps.fao.org/gismgr/api/v1/RICCAR/PISPOP/wms?VERSION=1.1.1","GeoTIFF","https://storage.googleapis.com/fao-maps-catalog-data/uuid/20f97d60-2353-4776-9b2a-4da13a5b7dca/thumbnail/pispop.png","","","","","","","","","","","","","","","","","",""
"iso19139","ce7eb56c-2723-488f-b446-8041d614ad29","37852","RICCAR: Vulnerability Hotspots - Water - Water Availability (MENA Region - RCP45 - FF - ~1km)","Part of the Integrated Vulnerability Assessment in the Arab Region, this 1km pixel resolution raster dataset provides a representation of future change in vulnerability hotspots for Water:Water Availability sub-sector, in the Middle East and North Africa Region. The raster grid was generated for End-Century time period (2081-2100) and moderate emission scenario - representative concentration pathway (RCP4.5) - developed by the Intergovernmental Panel on Climate Change (IPCC). Pixel values were classified according to vulnerability level: class 10 the top 10%, class 20 top 20% and class 30 top 30%. Vulnerability is a concept used to express the complex interaction of climate change effects and the susceptibility of a system to its impacts. The integrated vulnerability assessment methodology is based on an understanding of vulnerability as a function of a system’s climate change exposure, sensitivity and adaptive capacity to cope with climate change effects, consistent with the approach put forward by the IPCC in its Fourth Assessment Report (AR4). It adopts the time periods generally used by the IPCC and other regional climate modelling experiments and runs climate simulations based on future time periods that are compared with a historical reference period.","dataset","2019-11-17T17:12:42","2019-08-21","Vulnerability###RICCAR###Climate change###Water###MENA - Middle East North Africa###Arab Region","","/","-17.0950333###59.81709472###-1.6352942###37.38038511","copyright###otherRestictions###","https://io.apps.fao.org/gismgr/api/v1/RICCAR/VHS/wms?service=WMS&VERSION=1.1.1&request=GetCapabilities###https://data.apps.fao.org/static/data/RICCAR/MENA/Vulnerability%20Assessment/Water%20-%20Water%20Availability/Hotspots/End-Century%20(2081-2100)/Moderate%20(RCP45)/VHS_H2OA_FF_RCP45_Hotspots.tif###https://data.apps.fao.org/static/data/RICCAR/MENA/Vulnerability%20Assessment/Water%20-%20Water%20Availability/Hotspots/End-Century%20(2081-2100)/Moderate%20(RCP45)/VHS_H2OA_FF_RCP45_Hotspots_Raster.zip###https://data.apps.fao.org/static/data/RICCAR/MENA/Vulnerability%20Assessment/Water%20-%20Water%20Availability/Hotspots/End-Century%20(2081-2100)/Moderate%20(RCP45)/VHS_H2OA_FF_RCP45_Hotspots_Map.pdf###https://data.apps.fao.org/static/data/RICCAR/MENA/Vulnerability%20Assessment/Water%20-%20Water%20Availability/H2OA_Impact_Chain.pdf###https://rkh.apps.fao.org/catalog/3/VHS###https://io.apps.fao.org/geoserver/wms","GeoTIFF","https://storage.googleapis.com/fao-maps-catalog-data/uuid/ce7eb56c-2723-488f-b446-8041d614ad29/thumbnail/vhs_f.png","","","","","","","","","","","","","","","","","",""
"iso19139","1a3eff73-cd04-49ab-9543-3c926d7ef8ef","37853","RICCAR: Vulnerability Hotspots - People (MENA Region - RCP45 - IF - ~1km)","Part of the Integrated Vulnerability Assessment in the Arab Region, this 1km pixel resolution raster dataset provides a representation of future change in vulnerability hotspots for People sector, in the Middle East and North Africa Region. The raster grid was generated for Mid-Century time period (2046-2065), and for moderate emission scenario - representative concentration pathway (RCP4.5) - developed by the Intergovernmental Panel on Climate Change (IPCC). Pixel values were classified according to vulnerability level: class 10 the top 10%, class 20 top 20% and class 30 top 30%. Vulnerability is a concept used to express the complex interaction of climate change effects and the susceptibility of a system to its impacts. The integrated vulnerability assessment methodology is based on an understanding of vulnerability as a function of a system’s climate change exposure, sensitivity and adaptive capacity to cope with climate change effects, consistent with the approach put forward by the IPCC in its Fourth Assessment Report (AR4). It adopts the time periods generally used by the IPCC and other regional climate modelling experiments and runs climate simulations based on future time periods that are compared with a historical reference period.","dataset","2019-11-17T17:12:59","2019-08-21","Vulnerability###RICCAR###Climate change###MENA - Middle East North Africa###Arab Region","","/","-17.10153###59.82347###-1.65404132###37.38762535","copyright###otherRestictions###","https://io.apps.fao.org/gismgr/api/v1/RICCAR/VHS/wms?service=WMS&VERSION=1.1.1&request=GetCapabilities###https://data.apps.fao.org/static/data/RICCAR/MENA/Vulnerability%20Assessment/People/Hotspots/Mid-Century%20(2046-2065)%20/Moderate%20(RCP45)/VHS_PPL_IF_RCP45_Hotspots.tif###https://data.apps.fao.org/static/data/RICCAR/MENA/Vulnerability%20Assessment/People/Hotspots/Mid-Century%20(2046-2065)%20/Moderate%20(RCP45)/VHS_PPL_IF_RCP45_Hotspots_Map.pdf###https://data.apps.fao.org/static/data/RICCAR/MENA/Vulnerability%20Assessment/People/Hotspots/Mid-Century%20(2046-2065)%20/Moderate%20(RCP45)/VHS_PPL_IF_RCP45_Hotspots_Raster.zip###https://rkh.apps.fao.org/catalog/3/VHS###https://io.apps.fao.org/geoserver/wms","GeoTIFF","https://storage.googleapis.com/fao-maps-catalog-data/uuid/1a3eff73-cd04-49ab-9543-3c926d7ef8ef/thumbnail/vhs_f.png","","","","","","","","","","","","","","","","","",""
"iso19139","0b6afb31-2cc3-4815-9b17-14a6284378ca","37794","RICCAR: Vulnerability Hotspots - Agriculture (MENA Region - RCP85 - IF - ~1km)","Part of the Integrated Vulnerability Assessment in the Arab Region, this 1km pixel resolution raster dataset provides a representation of future change in vulnerability hotspots for Agriculture sector, in the Middle East and North Africa Region. The Raster grid was generated for high representative concentration pathway (RCP8.5) emission scenario developed by the Intergovernmental Panel on Climate Change (IPCC), for Mid-Century (2046-2065) time period. Pixel values are classified according to vulnerability level: class 10 the top 10%, class 20 top 20% and class 30 top 30%. Vulnerability is a concept used to express the complex interaction of climate change effects and the susceptibility of a system to its impacts. The integrated vulnerability assessment methodology is based on an understanding of vulnerability as a function of a system’s climate change exposure, sensitivity and adaptive capacity to cope with climate change effects, consistent with the approach put forward by the IPCC in its Fourth Assessment Report (AR4). It adopts the time periods generally used by the IPCC and other regional climate modelling experiments and runs climate simulations based on future time periods that are compared with a historical reference period.","dataset","2019-11-17T17:12:51","2019-08-23","Vulnerability###RICCAR###Climate change###Agriculture###MENA - Middle East North Africa###Arab Region","","/","-17.0950333###59.81330003###-1.6352942###37.38137246","copyright###otherRestictions###","https://data.apps.fao.org/static/data/RICCAR/MENA/Vulnerability%20Assessment/Agriculture/Hotspots/Mid-Century%20(2046-2065)%20/High%20(RCP85)/VHS_AG_IF_RCP85_Hotspots.tif###https://data.apps.fao.org/static/data/RICCAR/MENA/Vulnerability%20Assessment/Agriculture/Hotspots/Mid-Century%20(2046-2065)%20/High%20(RCP85)/VHS_AG_IF_RCP85_Hotspots_Raster.zip###https://data.apps.fao.org/static/data/RICCAR/MENA/Vulnerability%20Assessment/Agriculture/Hotspots/Mid-Century%20(2046-2065)%20/High%20(RCP85)/VHS_AG_IF_RCP85_Hotspots_Map.pdf###https://io.apps.fao.org/gismgr/api/v1/RICCAR/VHS/wms?service=WMS&VERSION=1.1.1&request=GetCapabilities###https://rkh.apps.fao.org/catalog/3/VHS###https://io.apps.fao.org/geoserver/wms","GeoTIFF","https://storage.googleapis.com/fao-maps-catalog-data/uuid/0b6afb31-2cc3-4815-9b17-14a6284378ca/thumbnail/vhs_f.png","","","","","","","","","","","","","","","","","",""
"iso19139","2020fbac-420e-478a-b12f-2e06baf07f8a","37802","RICCAR: Vulnerability Hotspots - People (MENA Region - RCP45 - FF - ~1km)","Part of the Integrated Vulnerability Assessment in the Arab Region, this 1km pixel resolution raster dataset provides a representation of future change in vulnerability hotspots for People sector, in the Middle East and North Africa Region. The raster grid was generated for End-Century time period (2081-2100), and for moderate emission scenario - representative concentration pathway (RCP4.5) - developed by the Intergovernmental Panel on Climate Change (IPCC). Pixel values were classified according to vulnerability level: class 10 the top 10%, class 20 top 20% and class 30 top 30%. Vulnerability is a concept used to express the complex interaction of climate change effects and the susceptibility of a system to its impacts. The integrated vulnerability assessment methodology is based on an understanding of vulnerability as a function of a system’s climate change exposure, sensitivity and adaptive capacity to cope with climate change effects, consistent with the approach put forward by the IPCC in its Fourth Assessment Report (AR4). It adopts the time periods generally used by the IPCC and other regional climate modelling experiments and runs climate simulations based on future time periods that are compared with a historical reference period.","dataset","2019-11-17T17:12:47","2019-08-21","Vulnerability###RICCAR###Climate change###MENA - Middle East North Africa###Arab Region","","/","-17.10153###59.82347###-1.65404132###37.38762535","copyright###otherRestictions###","https://io.apps.fao.org/gismgr/api/v1/RICCAR/VHS/wms?service=WMS&VERSION=1.1.1&request=GetCapabilities###https://data.apps.fao.org/static/data/RICCAR/MENA/Vulnerability%20Assessment/People/Hotspots/End-Century%20(2081-2100)/Moderate%20(RCP45)/VHS_PPL_FF_RCP45_Hotspots.tif###https://data.apps.fao.org/static/data/RICCAR/MENA/Vulnerability%20Assessment/People/Hotspots/End-Century%20(2081-2100)/Moderate%20(RCP45)/VHS_PPL_FF_RCP45_Hotspots_Map.pdf###https://data.apps.fao.org/static/data/RICCAR/MENA/Vulnerability%20Assessment/People/Hotspots/End-Century%20(2081-2100)/Moderate%20(RCP45)/VHS_PPL_FF_RCP45_Hotspots_Raster.zip###https://rkh.apps.fao.org/catalog/3/VHS###https://io.apps.fao.org/geoserver/wms","GeoTIFF","https://storage.googleapis.com/fao-maps-catalog-data/uuid/2020fbac-420e-478a-b12f-2e06baf07f8a/thumbnail/vhs_f.png","","","","","","","","","","","","","","","","","",""
"iso19139","f58f8ec7-565a-454b-a247-a255093003a6","37742","RICCAR, MENA Region - Vulnerability Assessment Output - Biodiversity and Ecosystems: Area Covered by Wetlands - high emission scenario (End-Century)","Part of the Integrated Vulnerability Assessment in the Arab Region, this 1km pixel resolution raster dataset provides a representation of future change in vulnerability for Biodiversity and Ecosystems: Area Covered by Wetlands sub-sector, in the Middle East and North Africa Region. The Raster grid was generated for high representative concentration pathway (RCP8.5) emission scenario developed by the Intergovernmental Panel on Climate Change (IPCC), for time period End-Century (2081-2100). Pixel values are classified according to level of vulnerability, from low 1 to high 10. Vulnerability is a concept used to express the complex interaction of climate change effects and the susceptibility of a system to its impacts. The integrated vulnerability assessment methodology is based on an understanding of vulnerability as a function of a system’s climate change exposure, sensitivity and adaptive capacity to cope with climate change effects, consistent with the approach put forward by the IPCC in its Fourth Assessment Report (AR4). It adopts the time periods generally used by the IPCC and other regional climate modelling experiments, and runs climate simulations based on future time periods that are compared with a historical reference period.","dataset","2019-08-22T14:06:51","2019-08-21","Vulnerability###RICCAR###Climate change###Biodiversity and Ecosystems###MENA - Middle East North Africa###Arab Region","","/","-17.02862999###59.73803668###-1.62680625###37.28986042","copyright###otherRestictions###","https://rkh.apps.fao.org/catalog/3/VF###https://io.apps.fao.org/geoserver/wms","GeoTIFF","https://storage.googleapis.com/fao-maps-catalog-data/uuid/f58f8ec7-565a-454b-a247-a255093003a6/thumbnail/v_f.png","","","","","","","","","","","","","","","","","",""
"iso19139","7aa12987-1907-41ab-8b90-d698e81fc018","37797","RICCAR: Vulnerability Hotspots - Infrastructure and Human Settlements (MENA Region - RCP45 - FF - ~1km)","Part of the Integrated Vulnerability Assessment in the Arab Region, this 10km pixel resolution raster dataset provides a representation of future change in vulnerability hotspots for the Infrastructure and Human Settlements sector, in the Middle East and North Africa Region. The raster grid was generated for End-Century (2081-2100) time period, for moderate emission scenario - representative concentration pathway (RCP4.5) - developed by the Intergovernmental Panel on Climate Change (IPCC). Pixel values were classified according to vulnerability level: class 10 the top 10%, class 20 top 20% and class 30 top 30%. Vulnerability is a concept used to express the complex interaction of climate change effects and the susceptibility of a system to its impacts. The integrated vulnerability assessment methodology is based on an understanding of vulnerability as a function of a system’s climate change exposure, sensitivity and adaptive capacity to cope with climate change effects, consistent with the approach put forward by the IPCC in its Fourth Assessment Report (AR4). It adopts the time periods generally used by the IPCC and other regional climate modelling experiments and runs climate simulations based on future time periods that are compared with a historical reference period.","dataset","2019-11-17T17:12:52","2019-08-24","Vulnerability###RICCAR###Climate change###MENA - Middle East North Africa###Arab Region","","/","-17.04461528###59.78871806###-1.56013958###37.35652709","copyright###otherRestictions###","https://io.apps.fao.org/gismgr/api/v1/RICCAR/VHS/wms?service=WMS&VERSION=1.1.1&request=GetCapabilities###https://data.apps.fao.org/static/data/RICCAR/MENA/Vulnerability%20Assessment/Infrastructure%20and%20Human%20Settlements%20/Hotspots/End-Century%20(2081-2100)/Moderate%20(RCP45)/VHS_IHS_FF_RCP45_Hotspots_Raster.zip###https://data.apps.fao.org/static/data/RICCAR/MENA/Vulnerability%20Assessment/Infrastructure%20and%20Human%20Settlements%20/Hotspots/End-Century%20(2081-2100)/Moderate%20(RCP45)/VHS_IHS_FF_RCP45_Hotspots.tif###https://data.apps.fao.org/static/data/RICCAR/MENA/Vulnerability%20Assessment/Infrastructure%20and%20Human%20Settlements%20/Hotspots/End-Century%20(2081-2100)/Moderate%20(RCP45)/VHS_IHS_FF_RCP45_Hotspots_Map.pdf###https://rkh.apps.fao.org/catalog/3/VHS###https://io.apps.fao.org/geoserver/wms","GeoTIFF","https://storage.googleapis.com/fao-maps-catalog-data/uuid/7aa12987-1907-41ab-8b90-d698e81fc018/thumbnail/vhs_f.png","","","","","","","","","","","","","","","","","",""
"iso19139","e6de0089-8f93-40c3-8ff4-b9a35dbdc219","37756","RICCAR, MENA Region - Vulnerability Assessment Output - People, moderate emission scenario (End-Century)","Part of the Integrated Vulnerability Assessment in the Arab Region, this 1km pixel resolution raster dataset provides a representation of future change in vulnerability for People sector, in the Middle East and North Africa Region. The Raster grid was generated for moderate representative concentration pathway (RCP4.5) emission scenario developed by the Intergovernmental Panel on Climate Change (IPCC) for time period End-Century (2081-2100). Pixel values are classified according to level of vulnerability, from low 1 to high 10. Vulnerability is a concept used to express the complex interaction of climate change effects and the susceptibility of a system to its impacts. The integrated vulnerability assessment methodology is based on an understanding of vulnerability as a function of a system’s climate change exposure, sensitivity and adaptive capacity to cope with climate change effects, consistent with the approach put forward by the IPCC in its Fourth Assessment Report (AR4). It adopts the time periods generally used by the IPCC and other regional climate modelling experiments, and runs climate simulations based on future time periods that are compared with a historical reference period.","dataset","2019-08-21T15:40:56","2019-08-21","Vulnerability###RICCAR###Climate change###MENA - Middle East North Africa###Arab Region","","/","-17.10150146###59.81937054###-1.64570799###37.3874593","copyright###otherRestictions###","https://rkh.apps.fao.org/catalog/3/VF###https://io.apps.fao.org/geoserver/wms","GeoTIFF","https://storage.googleapis.com/fao-maps-catalog-data/uuid/e6de0089-8f93-40c3-8ff4-b9a35dbdc219/thumbnail/v_f.png","","","","","","","","","","","","","","","","","",""
"iso19139","6ff1426d-e376-4667-abe1-c108594391f1","37781","RICCAR: Vulnerability Hotspots - People - Employment Rate for the Agricultural Sector (MENA Region - RCP45 - FF - ~1km)","Part of the Integrated Vulnerability Assessment in the Arab Region, this 1km pixel resolution raster dataset provides a representation of future change in vulnerability hotspots for the People:Employment Rate for the Agricultural Sector sub-sector, in the Middle East and North Africa Region. The raster grid was generated for End-Century time period (2081-2100) and moderate emission scenario - representative concentration pathway (RCP4.5) - developed by the Intergovernmental Panel on Climate Change (IPCC). Pixel values were classified according to vulnerability level: class 10 the top 10%, class 20 top 20% and class 30 top 30%. Vulnerability is a concept used to express the complex interaction of climate change effects and the susceptibility of a system to its impacts. The integrated vulnerability assessment methodology is based on an understanding of vulnerability as a function of a system’s climate change exposure, sensitivity and adaptive capacity to cope with climate change effects, consistent with the approach put forward by the IPCC in its Fourth Assessment Report (AR4). It adopts the time periods generally used by the IPCC and other regional climate modelling experiments and runs climate simulations based on future time periods that are compared with a historical reference period.","dataset","2019-11-17T17:12:48","2019-08-24","Vulnerability###RICCAR###Climate change###Agriculture###MENA - Middle East North Africa###Arab Region","","/","-17.10153###59.81513666###-1.64570798###37.38762535","copyright###otherRestictions###","https://data.apps.fao.org/static/data/RICCAR/MENA/Vulnerability%20Assessment/People%20-%20Employment%20Rate%20for%20the%20Agricultural%20Sector/Hotspots/End-Century%20(2081-2100)/Moderate%20(RCP45)/VHS_H2O4H_FF_RCP45_Hotspots_Raster.zip###https://io.apps.fao.org/gismgr/api/v1/RICCAR/VHS/wms?service=WMS&VERSION=1.1.1&request=GetCapabilities###https://data.apps.fao.org/static/data/RICCAR/MENA/Vulnerability%20Assessment/People%20-%20Employment%20Rate%20for%20the%20Agricultural%20Sector/Hotspots/End-Century%20(2081-2100)/Moderate%20(RCP45)/VHS_H2O4H_FF_RCP45_Hotspots.tif###https://data.apps.fao.org/static/data/RICCAR/MENA/Vulnerability%20Assessment/People%20-%20Employment%20Rate%20for%20the%20Agricultural%20Sector/Hotspots/End-Century%20(2081-2100)/Moderate%20(RCP45)/VHS_H2O4H_FF_RCP45_Hotspots_Map.pdf###https://data.apps.fao.org/static/data/RICCAR/MENA/Vulnerability%20Assessment/People%20-%20Water%20Available%20for%20Drinking/H2O4H_Impact_Chain.pdf###https://rkh.apps.fao.org/catalog/3/VHS###https://io.apps.fao.org/geoserver/wms","GeoTIFF","https://storage.googleapis.com/fao-maps-catalog-data/uuid/6ff1426d-e376-4667-abe1-c108594391f1/thumbnail/vhs_f.png","","","","","","","","","","","","","","","","","",""
"iso19139","4c46036c-87b0-4e22-a52e-dd040e89f80c","37744","RICCAR, MENA Region - Vulnerability Assessment Output - Water - Moderate emission scenario (End-Century)","Part of the Integrated Vulnerability Assessment in the Arab Region, this 1km pixel resolution raster dataset provides a representation of future change in vulnerability for Water sector, in the Middle East and North Africa Region. The Raster grid was generated for moderate representative concentration pathway (RCP4.5) emission scenario developed by the Intergovernmental Panel on Climate Change (IPCC) for time period End-Century (2081-2100). Pixel values are classified according to level of vulnerability, from low 1 to high 10. Vulnerability is a concept used to express the complex interaction of climate change effects and the susceptibility of a system to its impacts. The integrated vulnerability assessment methodology is based on an understanding of vulnerability as a function of a system’s climate change exposure, sensitivity and adaptive capacity to cope with climate change effects, consistent with the approach put forward by the IPCC in its Fourth Assessment Report (AR4). It adopts the time periods generally used by the IPCC and other regional climate modelling experiments, and runs climate simulations based on future time periods that are compared with a historical reference period.","dataset","2019-08-22T11:06:14","2019-08-21","Vulnerability###RICCAR###Climate change###Water###MENA - Middle East North Africa###Arab Region","","/","-17.0950333###59.81709472###-1.6352942###37.38038511","copyright###otherRestictions###","https://rkh.apps.fao.org/catalog/3/VF###https://io.apps.fao.org/geoserver/wms","GeoTIFF","https://storage.googleapis.com/fao-maps-catalog-data/uuid/4c46036c-87b0-4e22-a52e-dd040e89f80c/thumbnail/v_f.png","","","","","","","","","","","","","","","","","",""
"iso19139","8fad5b7a-0ccd-42e1-b687-8d5511d84415","37587","RICCAR, MENA Region - Vulnerability Assessment - Sensitivity - Natural: Degradation of Vegetation Cover","Part of the Integrated Vulnerability Assessment in the Arab Region, this 1km pixel resolution raster dataset provides a representation of Sensitivity to climate change impact for the Natural dimension indicator – Degradation of Vegetation Cover - in the Middle East and North Africa Region. Vulnerability is a concept used to express the complex interaction of climate change effects and the susceptibility of a system to its impacts. The integrated vulnerability assessment methodology is based on an understanding of vulnerability as a function of a system’s climate change exposure, sensitivity and adaptive capacity to cope with climate change effects, consistent with the approach put forward by the Intergovernmental Panel on Climate Change (IPCC) in its Fourth Assessment Report (AR4). Within this conceptual framework, Sensitivity provides information about the status quo of the physical and natural environment that makes the affected systems particularly susceptible to climate change. Sensitivity indicators were clustered into three dimensions: population, natural, and manmade. Within the vulnerability assessment methodology it is assumed the indicators retain the same values for reference period and future periods. A class value of 1 was assigned to represent a favorable condition (low sensitivity) while a class value of 10 designates an unfavorable condition.","dataset","2020-12-07T08:10:22","2019-08-14","Vulnerability###Sensitivity###RICCAR###Climate change###Vegetation###MENA - Middle East North Africa###Arab Region","","/","-17.10153###59.84847###-1.64847491###37.37652509","copyright###otherRestictions###","https://rkh.apps.fao.org/catalog/3/PISNAT###https://io.apps.fao.org/gismgr/api/v1/RICCAR/ACIT/wms?service=WMS&VERSION=1.1.1&request=GetCapabilities","GeoTIFF","https://data.apps.fao.org/map/catalog/srv/api/records/8fad5b7a-0ccd-42e1-b687-8d5511d84415/attachments/pisnat.png","","","","","","","","","","","","","","","","","",""
"iso19139","afb452cd-f0a3-4375-98d1-420cf08b51b6","30505","Decadal Predictions Data set - ClimAfrica WP2","A Decadal prediction data set of several atmospheric and oceanic variables is here presented for climate studies and comparisons. Predictions are performed one time every 5 years, with start date on Nov 1st, and integrated for twenty years. Each prediction is constituted of three ensemble members to have a minimal sample of the uncertainty on the initial conditions. The sampled variables are: The sampled variables are: - Specific Humidity (Q) - Relative Humidity (RH) - Temperature (T) - Zonal Wind (U) - Meridional Wind (V) - Surface temperature (surf_temp) - Zonal Wind at 10m (u10) - Meridional Wind at 10m (v10). The decadal predictions data are available for download on demand only. Please contact Andrea Borrelli at andrea.borrelli@cmcc.it to place your request. This data set has been produced in the framework of the \"Climate change predictions in Sub-Saharan Africa: impacts and adaptations (ClimAfrica)\" project, Work Package 2 (WP2). More information on ClimAfrica project is provided in the Supplemental Information section of this metadata.","dataset","2023-01-25T09:19:29","","climate###forecast###temperature###humidity###wind###WP2###ClimAfrica###Tag_climafrica###Africa","","Centro Euro-Mediterraneo sui Cambiamenti Climatici (CMCC)/ andrea.borrelli@cmcc.it","-17.30###51.10###-34.60###38.20","copyright","https://www.cmcc.it/projects/climafrica-climate-change-predictions-in-sub-saharian-africa-impacts-and-adaptations###https://www.fao.org/3/i7040e/i7040e.pdf###https://www.fao.org/3/i7040e/i7040e.pdf###https://www.fao.org/3/i7040e/i7040e.pdf","NetCDF format","https://storage.googleapis.com/fao-maps-catalog-data/uuid/afb452cd-f0a3-4375-98d1-420cf08b51b6/thumbnail/T850hPa_Jul_s.png###https://storage.googleapis.com/fao-maps-catalog-data/uuid/afb452cd-f0a3-4375-98d1-420cf08b51b6/large_thumbnail/T850hPa_Jul.png","","2013-09-12","2012-09-30","","","","","","","","","","","","","","",""
